"About a decade ago, I met someone who had experienced a few episodes of schizophrenia.",حدود یک دهه پیش، من با کسی ملاقات کردم که چند دوره اسکیزوفرنی را تجربه کرده بود.
"They had felt that their sense of self, of what it feels like to be them, changing somewhat.",احساس کرده بودند که هویت و آگاهی از خودشان، احساسی که در مورد خودشان دارند، تا حدودی تغییر کرده است.
The boundaries of their body began to feel a bit nebulous.,مرزهای بدنشان شروع به مبهم شدن می‌کند.
Even their psychological self felt a bit porous at times.,حتی خود روانی آن‌ها هم گاهی اوقات کمی متخلخل به نظر می‌رسید.
They were experiencing what could be called an altered sense of self.,آن‌ها چیزی را تجربه می‌کردند که می‌توان آن را خودآگاهی تغییریافته نامید.
"Over the years, I met many such brave and insightful people",در طول سال‌ها، من با بسیاری از افراد شجاع و با بصیرت آشنا شدم
who shared what it's like to live with their altered selves.,که زندگی کردن با خودِ تغییریافته‌شان را با من به اشتراک گذاشتند.
"And by ""altered,"" I mean ""different,"" not ""deficient,"" while acknowledging that coping with altered selves can be a struggle at times.",و منظور من از «تغییریافته»، «متفاوت» است، نه «ناقص»، با اقرار کردن به آن‌که کنار آمدن با خودهای تغییریافته می‌تواند در مواقعی یک مبارزه باشد.
"So speaking with them, and with theologians, philosophers, neuroscientists, I came to understand that this self that each one of us takes oneself to be is not as real as it seems.",بنابراین، با صحبت با آن‌ها و با الهی‌دانان، فیلسوفان، عصب‌شناسان، دریافتم که این شخصی که هر یک از ما خود را به آن نسبت می‌دهیم، آنقدرها که به نظر می‌رسد، واقعی نیست.
It’s there when we wake up.,وقتی بیدار می‌شویم حاضرست.
It disappears when we fall asleep.,وقتی به خواب می‌رویم ناپدید می‌شود.
It reappears in our dreams.,دوباره در رویاهای ما ظاهر می‌شود.
It's what makes us who we are.,چیزیست که ما را به آنچه هستیم تبدیل می‌کند.
"It seems solid, unchanging, permanent.",جامد، تغییرناپذیر، دائمی به نظر می‌رسد.
"And yet, we can examine aspects of the self that seem real to us, and ask, “Just how real are they?”",با این حال، می‌توانیم جنبه‌هایی از خودمان  که واقعی به نظر می‌رسد، بررسی کنیم و بپرسیم: «چقدر واقعی هستند؟»
"Take, for instance, the question ""Who am I?""",برای مثال به این سوال فکر کنید: «من چه کسی هستم؟»
The most likely answer you will get or give to such a question,محتمل‌ترین پاسخی که  برای چنین سوالی می‌گیرید یا به آن می‌دهید
will be in the form of a story.,در قالب داستان خواهد بود.
"We tell others -- and indeed, ourselves -- stories about who we are.",ما به دیگران -و البته خودمان- داستان‌هایی در مورد اینکه چه کسی هستیم، می‌گوییم.
We take our stories to be sacrosanct.,ما داستان‌هایمان را مقدس می‌دانیم.
We are our stories.,ما داستان‌های خودمان هستیم.
"But a condition that most of us, sadly, will be familiar with -- Alzheimer's disease -- tells us something quite different.",اما وضعیتی که متأسفانه اکثر ما با آن آشنا هستیم - بیماری آلزایمر - چیزی کاملاً متفاوت را به ما می‌گوید.
Alzheimer's begins by affecting short-term memory.,آلزایمر با تأثیر بر حافظه کوتاه‌مدت شروع می‌شود.
Think about what that does to someone's story.,به این فکر کنید که این بیماری  با داستان یک نفر چه می‌کند.
"In order for our stories to form, to grow, something that just happens to us has to first enter short-term memory, and then, get incorporated into what's called long-term episodic memory.",برای اینکه داستان‌های ما شکل بگیرند، رشد کنند، اتفاقی که برای ما اکنون رخ می‌دهد، باید ابتدا وارد حافظه کوتاه‌مدت شود و سپس در آنچه که حافظه روایتی بلندمدت نامیده می‌شود، گنجانده شود.
It has to become an episode in our narrative.,باید تبدیل به یک قسمت در روایت ما شود.
But what if the experience doesn't even enter short-term memory?,اما چه می‌شود اگر این تجربه حتی وارد حافظه کوتاه‌مدت نشود؟
That's exactly what Alzheimer's does.,این دقیقاً همان کاری است که آلزایمر انجام می‌دهد.
"In the beginning, Alzheimer's impairs the formation of short-term memory.",در ابتدا، آلزایمر در شکل‌گیری حافظه کوتاه‌مدت اختلال ایجاد می‌کند.
